what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1424231955033
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1424231955033
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1424231955034
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1424231955034
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1424231955035
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1424231955035
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1424231955035
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1424231955036
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1424231955036
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1424231955037
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1424231955037
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1424231955038
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1424231955038
started,bundle,com.altera.sbtgui.integration,12.1.1.243,"com.altera.sbtgui.integration",1424231955038
started,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1424231955039
started,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1424231955039
started,bundle,com.altera.systemconsole,12.1.1.243,"com.altera.systemconsole",1424231955039
started,bundle,com.altera.systemconsole.designs.plugin,12.1.1.243,"com.altera.systemconsole.designs.plugin",1424231955040
started,bundle,com.altera.systemconsole.scripting,12.1.1.243,"com.altera.systemconsole.scripting",1424231955040
started,bundle,com.altera.utilities,12.1.1.243,"com.altera.utilities",1424231955040
os,sysinfo,,,"win32",1424231955042
arch,sysinfo,,,"x86",1424231955042
ws,sysinfo,,,"win32",1424231955042
locale,sysinfo,,,"en_CA",1424231955042
processors,sysinfo,,,"8",1424231955042
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1424231955042
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1424231955042
java.specification.name,sysinfo,,,"Java Platform API Specification",1424231955042
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1424231955042
java.specification.version,sysinfo,,,"1.6",1424231955042
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1424231955042
java.version,sysinfo,,,"1.6.0_23",1424231955042
java.vm.info,sysinfo,,,"mixed mode",1424231955042
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1424231955042
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1424231955042
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1424231955042
java.vm.specification.version,sysinfo,,,"1.0",1424231955042
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1424231955042
java.vm.version,sysinfo,,,"19.0-b09",1424231955042
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1424231955355
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1424232002359
