what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423445907909
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423445909469
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1423445912074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423445912340
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423445913962
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423445918970
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1423445920686
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423445920701
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1423445920732
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1423445920732
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423445923213
error,log,,,"Internal Error",1423445925319
error,log,,,"Problems encountered while deleting resources.",1423445925319
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423445930264
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1423445930264
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1423445930264
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423445934289
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423445936223
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1423445936254
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1423445936254
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423445939000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423445966004
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1423445968422
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1423445968453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423445976565
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423445986190
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1423445986767
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1423445987048
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1423445987563
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1423445989950
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1423445990418
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423445990714
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423445994193
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1423445994208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423445995659
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423445998171
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1423445998171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423445999715
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446004504
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446005004
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446006626
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446006626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446007562
opened,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1423446009668
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1423446009871
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1423446009886
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446018656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446019202
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446019451
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446040074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446040698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446047667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446048228
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446201748
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1423446203480
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446205508
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446249856
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446250371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446252640
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446253982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446270184
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446271307
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446275535
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1423446276377
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446277656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446302433
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1423446302448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446302994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446347227
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446348273
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446365150
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446365774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446378098
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1423446379065
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446382653
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446385960
started,bundle,com.altera.debug.cdi.gdb.plugin,12.1.1.243,"com.altera.debug.cdi.gdb.plugin",1423446395117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446395227
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446406349
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1423446406365
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1423446407675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446407956
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446417051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446429698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446430681
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1423446431149
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1423446432475
